house_id,living_space,beds,baths,year_of_house,list_price,LivingSpaceGreaterThan2000,Total_Rooms,ListPriceInclTax,EstMortgageFees
1,2222,3,3.5,1981,250000,True,6.5,282500.0,12500.0
2,1628,3,2.0,2009,185000,False,5.0,209049.99999999997,9250.0
4,1137,3,2.0,1993,150000,False,5.0,169499.99999999997,7500.0
6,2893,4,3.0,1994,699000,True,7.0,789869.9999999999,34950.0
7,3631,4,3.0,1996,649000,True,7.0,733369.9999999999,32450.0
8,2483,4,3.0,2016,399000,True,7.0,450869.99999999994,19950.0
9,2400,4,4.0,2002,613000,True,8.0,692689.9999999999,30650.0
10,1997,3,3.0,2006,295000,False,6.0,333349.99999999994,14750.0
11,2097,4,3.0,2016,290000,True,7.0,327699.99999999994,14500.0
13,4892,5,6.0,2005,799900,True,11.0,903886.9999999999,39995.0
15,1381,3,2.0,2006,143000,False,5.0,161589.99999999997,7150.0
16,4242,4,5.0,2007,569000,True,9.0,642969.9999999999,28450.0
17,2533,3,2.0,1991,365000,True,5.0,412449.99999999994,18250.0
18,1158,3,2.0,1993,155000,False,5.0,175149.99999999997,7750.0
19,2497,4,4.0,1990,289000,True,8.0,326569.99999999994,14450.0
20,4010,5,3.0,2002,549900,True,8.0,621386.9999999999,27495.0
